"","MS245","MS374","MS371","MS348","MS352"
"P14868",17.602945558917,17.6991872622471,17.2564514319141,18.5891264356862,17.7371743544994
"P02792",18.7441976864725,18.8730513724283,20.0744086058303,19.0365508539162,19.3135939935892
"P52565",19.3196791654746,19.481429983882,19.9673242157244,20.0712175438065,19.7293858609898
"P51649",18.2325789488161,18.6656465809873,18.451023543197,18.6726845501728,18.5763660119963
"Q9NQC3",17.7532976302294,17.6051471302788,17.7563422471569,17.6647475324457,18.1001891163155
"P00738",20.1032560156582,20.9300034904521,20.0343958384553,20.1625417511612,20.2267416195913
"Q8N126",18.6213104235724,18.505578753968,17.7733033217154,18.4356519292723,18.2914269982244
"P15311",18.8545950958129,18.5421440809387,18.5684703899117,18.75263496139,18.8727188902393
"Q00325",19.1357937678673,19.2280369071175,19.5160067298092,19.0720934880167,19.1683088137458
"Q92599",18.9757452562567,18.6949971453459,18.4851704684571,18.6100115555597,19.2540916258923
"P30046;A6NHG4",18.0634180038331,18.060464523725,18.2395781456871,18.1432012431917,18.5358579055229
"O75874",16.9886853942116,17.1108488576242,17.2599587369381,17.6384305130798,17.3879594823429
"P17655",18.2354142768793,18.0916866172215,18.5608128183423,18.6019468340975,18.539329725155
"P22392;O60361",18.7627164451384,18.5351466983994,18.6257636194756,19.0381888873539,18.4718656883818
"P63208",18.7135288970576,18.5395798888363,19.1689568716529,19.2557295528062,19.0040974573796
"P51149",18.5869121734834,18.7424035075862,18.826379461851,19.2436866323609,18.8980681836356
"O43707;P35609",17.7546747895744,17.856854821487,17.6004989201552,17.8260238139336,17.4666381105605
"P61163;P42025",18.3042293028815,18.463242696983,18.4388371890278,18.4924127573848,18.5070320214643
"P62873;O15213;P16520",20.464977038055,20.5607608340498,20.5510087508762,20.4930855296516,20.7394384606253
"P50991",17.8169974360047,17.9034740839324,17.9048951215999,18.1659992269055,17.9506290934519
"P78371",17.0953699652958,17.1838615502197,17.3114129645254,17.4099340732075,17.2826511242584
"O00429",16.8051442341217,16.7730289954017,16.6361080149792,16.8019397786144,16.6639622875294
"Q16836;Q9ULH7",18.5084229501306,18.5538029144496,18.932672879091,18.7188307615467,18.9576137606622
"P31946",19.9638905254323,19.7285922126334,19.9086037718227,19.8999684024703,19.9749580447116
"P00441",22.5375762509152,22.5723670324873,22.529401311975,22.887311487141,22.6159420135599
"Q14019",18.1343735647503,18.4929615530237,19.1503447680514,19.0785501474854,18.3809467272426
"P00492;Q9NRG1",17.4416342816871,17.9132508565761,17.3071939051032,17.0324787407456,17.3212625011916
"P14621;Q5T8P6",17.4647451626575,16.4964322174802,16.8362750962516,16.7396911700006,16.3779323682102
"Q08257",17.1855345238035,16.7452260771245,17.7668668262128,17.1116882912393,17.5917141168577
"Q13938",19.7206732709194,19.2985972611512,20.250063510195,20.0070093597354,19.3193376637573
